1446981151.151000, /muse/elements/raw_fft1, 8.09655, 14.496908, 13.777675, 12.5271, 11.99146, 7.436674, 4.3758354, 7.753883, 4.242044, -2.414332, 1.711524, -0.95239145, -7.348989, -7.11014, -5.5245333, -7.8507824, -10.87051, -9.15922, -14.371709, -14.438668, -9.7776785, -8.203402, -8.517315, -10.314197, -11.401766, -10.652732, -12.215401, -10.837109, -5.836563, -8.4862175, -6.7990365, -10.3312845, -8.539894, -6.7926044, -7.3792186, -18.698513, -12.003143, -10.316488, -10.896835, -12.461639, -9.233247, -11.841552, -13.569583, -13.60865, -7.6172686, -7.420415, -10.198062, -6.318324, -12.292611, -7.372337, -6.4022593, -11.696098, -13.75963, -10.782426, -7.5288205, -7.9855943, -11.810981, -5.439841, 4.693298, 0.6224988, -12.117707, -14.204924, -17.276522, -10.048527, -10.623879, -17.635027, -16.970814, -15.068526, -21.291588, -25.89389, -32.89696, -28.963566, -18.737244, -16.1002, -18.464642, -16.567944, -16.867071, -19.915243, -20.863708, -14.2578535, -17.053131, -17.33854, -9.549258, -12.33136, -16.981668, -19.720436, -14.8691635, -13.089032, -14.163791, -17.249157, -21.831537, -20.875854, -14.994848, -12.509287, -11.606143, -16.649351, -19.259785, -25.610277, -19.748575, -13.350274, -8.578581, -11.575391, -20.617878, -20.134285, -23.906672, -18.905897, -17.634752, -18.826216, -21.32414, -17.008598, -24.33201, -29.555046, -18.92587, -21.369144, -23.74193, -18.011366, -9.007988, -9.720855, -18.295128, -19.383535, -19.42064, -25.61164, -25.899994, -21.587124, -24.622654, -28.864397, -21.073189, -21.559986, -26.559141
1446981151.152000, /muse/elements/raw_fft2, 30.755342, 36.607117, 34.044086, 31.380095, 28.247236, 24.284391, 16.492151, 20.512526, 17.474495, 15.130219, 17.3966, 14.109105, 8.756623, 9.169545, 9.828883, 13.556212, 9.042619, 3.7369726, 8.605526, 6.1082373, 4.8302803, 2.1272566, 4.2079353, 3.9491634, 1.27829, 5.6520433, 0.2564994, 6.6892223, 9.682283, 7.3539176, -1.0581343, 4.3369555, 6.8733845, 2.6999073, 7.5406213, 7.296969, 2.5962198, -2.1628163, -2.2343082, -1.7104037, -0.5978499, -0.4415753, -1.2276688, 2.764167, 2.8019695, 2.4148593, -2.9949398, -5.399067, 3.612103, 2.0199494, 0.08031555, -1.6511534, -0.7093586, -3.8824663, -1.9279715, -4.0575156, -5.3117356, 3.564797, 13.021486, 8.732315, -3.436591, -4.594232, -0.04853041, -0.99707323, -1.9117815, -6.80928, -10.101514, -8.901988, -16.725897, -19.33899, -19.861689, -23.583487, -16.794058, -17.052576, -13.620762, -7.941269, -6.78996, -13.451864, -13.965753, -14.0054455, -10.690385, -6.9685965, -10.893299, -13.723044, -13.9425125, -8.442085, -6.8194833, -10.428068, -10.047815, -9.5408325, -7.5542445, -8.031198, -5.347685, -6.7246842, -4.2185135, -9.806045, -14.462282, -10.908783, -10.349887, -5.9917793, -4.851111, -10.051044, -12.797967, -6.863567, -10.639247, -11.240615, -9.110939, -11.8287325, -10.740759, -10.066232, -9.807867, -8.946556, -11.042476, -17.622066, -16.77167, -15.38928, -4.730279, -6.7260385, -13.655951, -11.795624, -16.168617, -16.869736, -18.542828, -16.218773, -22.778679, -16.690502, -17.53513, -20.81656, -23.484747
1446981151.153000, /muse/elements/raw_fft3, 10.562395, 14.575475, 10.219734, 12.945506, 18.730118, 18.18303, 12.554377, 7.2004523, 4.546841, 10.335259, 10.780784, 7.9646506, 4.9352384, 0.4539345, 1.2762393, -2.0335245, -2.360255, 0.2876997, -1.7871026, 1.0627767, -2.0089593, -12.20745, -4.125768, -0.17405549, -1.1939818, -4.970855, -1.7817632, 4.592491, 3.3655512, -3.1554532, -3.9202917, -3.1902258, -2.4407866, -6.7389517, 2.1222885, 5.6817827, -1.2378231, -7.735616, -5.2557974, -7.5780067, -4.187582, -1.2370691, -4.162893, -7.676432, -6.9488335, -1.3379424, -5.6568465, -11.049823, -6.7816434, -1.873625, 1.0815369, -0.9661046, -1.139629, 2.2204654, 1.1016605, 2.8649955, -1.4080409, 12.722104, 22.38158, 17.497458, -3.5749888, 0.06566531, -2.2142684, -4.3090434, -9.948709, -4.852863, -5.755497, -11.111849, -11.287337, -8.344863, -6.3928084, -6.840002, -9.256079, -8.015232, -8.304512, -8.922175, -7.8468947, -8.509807, -10.791985, -12.303296, -5.4032073, 1.0041385, 0.34976247, -12.164844, -14.734097, -8.065532, -6.158731, -11.243017, -14.661969, -19.1505, -14.411623, -6.153731, -7.837934, -5.6689043, -12.516424, -15.065648, -11.033482, -7.6549687, -8.189334, -8.753942, -4.3070297, -7.368452, -12.762938, -9.595043, -10.885781, -9.240641, -5.46036, -5.13643, -7.3050094, -7.4893656, -10.347138, -15.720426, -14.128916, -8.890217, -8.046712, -6.765104, 2.000019, -0.069581434, -13.36549, -10.589307, -10.889709, -11.706773, -10.642887, -10.10138, -7.666205, -10.382332, -9.452964, -10.095609, -10.999794
1446981151.153000, /muse/elements/low_freqs_absolute, 0.0, 0.0, 0.0, 0.0
1446981151.153000, /muse/elements/alpha_absolute, 0.0, 0.0, 0.0, 0.0
1446981151.153000, /muse/elements/beta_absolute, 0.0, 0.0, 0.0, 0.0
1446981151.153000, /muse/elements/delta_absolute, 0.0, 0.0, 0.0, 0.0
1446981151.153000, /muse/elements/gamma_absolute, 0.0, 0.0, 0.0, 0.0
1446981151.153000, /muse/elements/theta_absolute, 0.0, 0.0, 0.0, 0.0
1446981151.153000, /muse/elements/alpha_session_score, 0.0, 0.0, 0.0, 0.0
