1446981099.039000, /muse/elements/raw_fft2, 21.069704, 25.597656, 22.598515, 13.845612, 13.607965, 10.599912, 6.273085, 11.471999, 10.443439, 6.468465, 8.144733, 3.5843263, -0.98822075, -1.1512147, -0.5785073, -4.140487, -5.5435376, -9.233378, -2.4311516, 1.4566698, 0.19347368, -1.5890766, -4.993596, -7.8517184, -8.608726, -10.119408, -6.402354, -5.263669, -7.6889505, -5.5253277, -10.8895855, -6.0212545, -5.6958694, -9.471746, -5.3856945, -9.692322, -11.873391, -8.52638, -8.458765, -11.769423, -11.173543, -5.926589, -7.3360248, -7.0903974, -8.652127, -10.947675, -11.486065, -12.981215, -18.506855, -12.591027, -8.855611, -14.506727, -11.13201, -13.392825, -14.071746, -12.925499, -11.545357, 12.108626, 21.679005, 16.460066, -7.3961225, -12.120199, -11.387057, -9.380789, -10.461252, -12.206436, -14.197522, -16.86079, -16.627214, -17.930426, -23.062029, -23.45378, -19.245049, -19.683634, -18.221712, -18.820099, -12.660874, -12.729968, -14.737387, -13.223024, -14.163201, -16.28339, -19.214993, -13.8742485, -13.116205, -17.856182, -20.013088, -17.701363, -14.456099, -13.557777, -14.6143875, -12.286821, -11.392144, -15.723024, -15.812709, -17.63415, -13.87484, -13.946094, -19.997347, -18.897942, -18.268978, -22.278572, -17.314049, -15.468071, -18.294065, -20.4009, -19.742512, -22.255844, -19.517706, -20.758354, -20.997229, -17.316708, -15.098623, -16.598639, -21.54381, -17.400375, -15.080987, -13.207543, -17.206142, -16.85577, -18.874807, -20.465132, -19.446575, -21.30338, -23.370228, -23.590603, -26.572475, -21.266293, -20.069561
1446981099.041000, /muse/elements/raw_fft3, 17.32864, 22.866217, 24.443737, 24.91087, 22.971182, 27.745844, 25.529236, 20.37854, 18.414646, 21.182251, 20.061184, 21.94752, 25.687006, 22.062386, 18.116856, 16.811272, 5.4912724, 7.558421, 11.8770275, 13.1718445, 8.131188, 14.396447, 15.700251, 11.959118, 9.774134, 11.619101, 11.805741, 13.035597, 7.6603045, 9.111017, 8.097814, 7.418934, 2.7415972, 10.357981, 22.293804, 24.54684, 19.343353, 13.385199, 7.8237, 5.0708594, 0.99509346, 2.3507671, 6.1360965, 3.1588824, 2.1822405, 4.685906, 7.454486, 8.402777, 3.3105435, 3.8299663, 2.0379035, 3.050806, 6.355016, 8.53755, 3.3840458, 2.3731053, 5.6790185, 30.618843, 40.210167, 34.84624, 5.24127, 2.6532168, 4.8679967, 0.77791184, -3.3180528, -4.013661, 0.52553433, 4.181763, 0.7491458, 6.024347, 3.5673566, -0.112661205, -1.7918688, 3.7527292, 4.1557965, 2.770623, -1.3075762, 0.84092945, -4.6913066, -3.4343731, 4.7251463, 8.370844, 7.8360543, -1.8141277, -1.7117543, 0.35504988, 4.453119, 4.1584415, -0.07255126, 2.776955, 4.387596, -1.1283271, -6.8065658, -2.2707653, -4.870427, -1.0063543, -4.246323, -4.5728703, -3.8572884, 1.3626587, 1.2708671, -1.0109221, 3.1899538, 6.1331058, 9.536526, 2.0533123, -0.3823878, -0.98950887, 0.5574461, 0.2563516, -1.6159698, -4.6652, -2.2629683, -6.1785536, -6.1269393, -3.525486, -4.570961, -1.828388, 4.2404623, 4.468789, 1.6783938, 2.4591305, 4.710401, -1.7463086, -6.1888094, 0.2776798, 3.2149556, 11.919913, 13.955898
1446981099.041000, /muse/elements/low_freqs_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/alpha_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/beta_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/delta_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/gamma_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/theta_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/alpha_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/beta_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/delta_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/gamma_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/elements/theta_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.042000, /muse/eeg, 893.2243, 893.2243, 720.5014, 669.507
1446981099.043000, /muse/eeg, 866.90466, 883.35443, 746.8211, 669.507
1446981099.043000, /muse/eeg, 832.36005, 845.5199, 799.46045, 1090.622
1446981099.043000, /muse/acc, 23.437536, 1003.90784, 136.71896
1446981099.043000, /muse/acc, 23.437536, 1003.90784, 136.71896
1446981099.043000, /muse/drlref, 1606451.6, 1648387.1
1446981099.043000, /muse/acc, 23.437536, 1003.90784, 136.71896
1446981099.043000, /muse/eeg, 883.35443, 858.67975, 796.1705, 1090.622
1446981099.043000, /muse/eeg/quantization, 1, 1, 1, 128
1446981099.043000, /muse/eeg, 880.06445, 891.57935, 753.401, 669.507
1446981099.043000, /muse/eeg, 852.0998, 898.15924, 740.24115, 458.94952
1446981099.044000, /muse/eeg, 819.2002, 878.4195, 794.5255, 880.06445
1446981099.044000, /muse/eeg, 860.3247, 850.45483, 817.55524, 1090.622
1446981099.044000, /muse/eeg, 912.9641, 875.1295, 771.4958, 880.06445
1446981099.044000, /muse/eeg, 886.6444, 899.80426, 748.46606, 458.94952
1446981099.044000, /muse/eeg, 840.58496, 884.99945, 786.3006, 669.507
1446981099.044000, /muse/eeg, 835.65, 852.0998, 825.78015, 1090.622
1446981099.044000, /muse/eeg, 893.2243, 873.48456, 794.5255, 1090.622
1446981099.044000, /muse/eeg, 903.09424, 893.2243, 746.8211, 669.507
1446981099.044000, /muse/eeg, 843.87494, 886.6444, 758.33594, 669.507
1446981099.044000, /muse/eeg, 832.36005, 871.8396, 802.7504, 1090.622
1446981099.044000, /muse/eeg, 894.8693, 863.6147, 819.2002, 1301.1794
1446981099.045000, /muse/eeg, 921.18896, 896.5143, 779.7207, 880.06445
1446981099.045000, /muse/eeg, 870.1946, 888.28937, 755.04596, 458.94952
1446981099.045000, /muse/acc, 27.343792, 1003.90784, 140.62521
1446981099.045000, /muse/acc, 23.437536, 1003.90784, 136.71896
1446981099.045000, /muse/acc, 23.437536, 1003.90784, 136.71896
1446981099.045000, /muse/acc, 23.437536, 1003.90784, 140.62521
1446981099.045000, /muse/eeg, 827.4251, 883.35443, 806.04034, 880.06445
1446981099.045000, /muse/eeg/quantization, 1, 1, 1, 128
1446981099.045000, /muse/eeg, 832.36005, 853.7448, 832.36005, 1511.7369
1446981099.045000, /muse/eeg, 901.4492, 863.6147, 791.23553, 1511.7369
1446981099.046000, /muse/elements/alpha_relative, nan, nan, nan, nan
1446981099.046000, /muse/elements/beta_relative, nan, nan, nan, nan
1446981099.046000, /muse/elements/delta_relative, nan, nan, nan, nan
1446981099.046000, /muse/elements/gamma_relative, nan, nan, nan, nan
1446981099.046000, /muse/elements/theta_relative, nan, nan, nan, nan
1446981099.046000, /muse/elements/horseshoe, 4.0, 4.0, 4.0, 4.0
1446981099.046000, /muse/elements/is_good, 0, 0, 0, 0
1446981099.046000, /muse/elements/blink, 0
1446981099.046000, /muse/elements/jaw_clench, 0
1446981099.046000, /muse/elements/touching_forehead, 0
1446981099.046000, /muse/elements/experimental/concentration, 0.0
1446981099.047000, /muse/elements/experimental/mellow, 0.0
